"Note: 1) 104 polymers sorted by calculated thermal conductivity; 2) All data was generated using the RadonPy Toolkit, more details can be found in the RandonPy associated literature (Y. Hayashi, J. Shiomi, J. Morikawa, R. Yoshida, npj Comput Mater 2022, 8, 1–15.). 3) If you want to use the following data, please cite the references of our work and the RandonPy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,SMILES,thermal_conductivity,TC_ke,TC_pe,TC_pair,TC_bond,TC_angle,TC_dihed,TC_improper,TC_kspace,TC_fix,density,Rg,self-diffusion,Cp,Cv,compressibility,isentropic_compressibility,bulk_modulus,isentropic_bulk_modulus,volume_expansion,linear_expansion,r2,static_dielectric_const,nematic_order_parameter,qm_polarizability,qm_polarizability_xx,qm_polarizability_yy,qm_polarizability_zz,qm_polarizability_xy,qm_polarizability_xz,qm_polarizability_yz,MW,Refractive_index
AP32,[*]c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(-n4c(=O)c5cc6c(=O)n([*])c(=O)c6cc5c4=O)cc3)cc2)cc1,0.468359745,0.017311177,-0.037003565,0.079525408,0.17788216,0.143564224,0.08683161,0.003168217,-0.002919486,0,1.303691127,55.59660849,3.65E-13,2485.307789,2480.003181,2.02E-10,2.01E-10,4962750285,4973385324,0.0000676,2.25E-05,277.2542926,1.48588683,0.104453395,64.18734152,104.9695035,43.61513717,43.97738393,-0.164429773,0.994595054,11.47965172,528.5,1.730631604
AP33,[*]NNC(=O)C=CC(=O)Nc1ccc(NC(=O)C=CC([*])=O)cc1,0.460176432,0.019527772,-0.058265412,0.089351287,0.156611317,0.140126493,0.099053491,0.004444872,0.009326612,0,1.273935505,41.34740001,2.72E-13,2810.56614,2798.188944,2.01E-10,2.00E-10,5003872967,5024347963,-4.47E-05,-1.49E-05,135.6379433,1.747850874,0.133895746,36.31831916,62.62424995,22.48553511,23.84517241,1.31739659,-1.126713278,-6.000312166,300.3,1.705040539
AP34,[*]Nc1nnc(Nc2n[nH]c([*])n2)[nH]1,0.451105594,0.033442457,-0.43450657,0.230917753,0.195336973,0.340317211,0.013833648,0.004088053,0.067676068,0,1.677403356,23.17864245,2.27E-13,3426.442077,3413.742489,8.82E-11,8.79E-11,11353522233,11390279556,0.0000549,1.83E-05,29.08466994,2.068434139,0.020590432,15.51604209,21.38457991,11.99934344,13.16420291,-1.189411758,0.52188977,3.267181177,164.16,1.731897137
AP35,*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c2c1CC2,0.43206862,0.008776696,0.005046364,0.050866969,0.181074578,0.112301551,0.072489694,0.000403538,0.001109229,0,1.144609344,53.78628566,1.15E-13,2583.814238,2578.016567,3.61E-10,3.60E-10,2.77E+09,2.78E+09,0.000089,2.97E-05,243.2039533,1.21219065,0.084531136,69.07666295,106.2050997,58.18919649,42.8356927,2.097184955,7.575526828,3.393851813,518.54,1.695622285
AP36,[*]NNC(=O)c1ccc(-c2ccc(C(=O)NNC(=O)c3cccc(C([*])=O)c3)cc2)cc1,0.419436488,0.015950389,0.025197541,0.056552818,0.14103504,0.107702434,0.072611865,0.005274374,-0.004887974,0,1.24104142,29.33126222,5.63E-13,2713.468744,2711.541699,4.38E-10,4.38E-10,2316954376,2318630795,-0.0000256,-8.53E-06,38.34993512,1.76028325,0.075032541,48.76178323,75.77221009,42.92435016,27.58878944,3.258662813,0.478207754,-1.159440448,400.42,1.687704235
AP37,[*]c1ccc(Nc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.418895032,0.009859846,-0.020249051,0.063478005,0.178439642,0.112810242,0.072550638,0.000847133,0.001158578,0,1.283052716,30.35780983,3.08E-13,2447.434737,2412.435515,2.75E-10,2.71E-10,3634931811,3687671303,0.00020277,6.76E-05,40.17532017,1.304419062,0.076327435,45.93506994,71.10143218,24.58362384,42.1201538,-0.897481481,-1.809923428,-3.958804017,381.36,1.70786204
AP38,[*]C(=O)NNC(=O)c1ccc([*])nc1,0.415152077,0.02084086,-0.017010017,0.084022251,0.157538762,0.122414488,0.034900712,0.004780552,0.007664469,0,1.340660947,45.38151539,2.54E-13,2565.099764,2465.27802,2.47E-10,2.38E-10,4043166602,4207039440,0.000331705,1.11E-04,106.8652573,1.794132133,0.091174801,16.79214896,22.87984085,13.9919006,13.50470543,-1.656191764,-1.282454032,-3.242911923,163.15,1.61300456
AP39,[*]c1ccc(-c2nc3cc(-c4ccc5oc([*])nc5c4)ccc3o2)cc1,0.410311265,0.008944684,0.007183495,0.040406327,0.16995415,0.120872493,0.065939366,0.000266857,-0.003256107,0,1.203043679,40.85645989,2.72E-12,2815.999184,2803.035909,9.52E-10,9.48E-10,1055439457,1060281188,-0.000207041,-6.90E-05,100.8618153,1.123961459,0.084133671,40.25944883,65.99103562,22.16192943,32.62538144,-3.125120215,2.030151081,3.292908145,310.32,1.717016534
AP40,*c1ccc(N2C(=O)c3cc4cc5c(cc4cc3C2=O)Cc2cc3cc4c(cc3cc2C5)C(=O)N(*)C4=O)c(C)c1,0.409814192,0.001902368,0.001182717,0.046731377,0.192751854,0.094990912,0.075809337,0.000321755,-0.003876129,0,1.155438623,54.83240442,-4.33E-14,2641.167456,2619.626249,3.01E-10,2.99E-10,3.32E+09,3.35E+09,0.000157757,5.26E-05,255.3748151,1.202602685,0.154706412,67.20089356,104.4704212,55.23858068,41.89367876,4.237438504,-5.481489155,-0.403466611,506.53,1.700424373
AP41,[*]Nc1ccc([*])nc1,0.397554332,0.015360012,-0.012595205,0.088481695,0.138607038,0.107437109,0.058787867,0.000464522,0.001011296,0,1.270538294,24.36680537,5.87E-13,3149.857128,3029.890586,1.69E-10,1.63E-10,5904420727,6138392464,0.000293038,9.77E-05,31.59530875,1.408872401,0.022331907,10.8966968,14.18018071,11.75344987,6.756459819,-0.425662574,0.442343662,0.293060395,92.11,1.682888656
